id,proposal_id,create_date,client_rating,freelancer_rating,client_rating_description,freelancer_rating_description,status
1,1502,2020-05-23,5.0,3.4,Proin interdum mauris non ligula pellentesque ultrices.,Nullam varius.,complete
2,2195,2020-03-29,2.6,1.5,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Donec ut dolor.,complete
3,2350,2018-03-25,,,,,ongoing
4,235,2018-02-15,1.9,4.9,Nullam varius.,Proin at turpis a pede posuere nonummy.,cancelled
5,2448,2019-06-23,2.7,2.9,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",In hac habitasse platea dictumst.,complete
6,2483,2019-04-01,,,,,dispute
7,1722,2018-03-14,,,,,dispute
8,2251,2018-05-29,2.6,4.9,Duis bibendum.,Proin eu mi.,complete
9,1350,2020-03-15,,,,,ongoing
10,736,2018-12-17,4.9,3.4,Donec quis orci eget orci vehicula condimentum.,Etiam faucibus cursus urna.,complete
11,1575,2019-09-13,,,,,ongoing
12,1717,2020-02-13,,,,,ongoing
13,2580,2018-10-24,1.6,4.0,Nunc purus.,Donec quis orci eget orci vehicula condimentum.,cancelled
14,2499,2018-08-17,,,,,dispute
15,1911,2020-04-22,2.9,1.5,In hac habitasse platea dictumst.,Suspendisse potenti.,complete
16,1583,2020-01-25,,,,,dispute
17,102,2019-10-12,,,,,ongoing
18,2107,2020-06-23,2.8,1.7,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",complete
19,965,2019-12-31,,,,,ongoing
20,929,2020-06-22,3.2,4.5,Phasellus id sapien in sapien iaculis congue.,Cras in purus eu magna vulputate luctus.,complete
21,342,2018-05-31,2.1,3.5,Aliquam non mauris.,Mauris lacinia sapien quis libero.,cancelled
22,373,2020-06-26,,,,,dispute
23,533,2020-07-21,4.9,3.8,Nulla tellus.,Donec ut dolor.,cancelled
24,862,2019-09-30,,,,,dispute
25,1643,2019-08-04,1.7,4.9,Aliquam non mauris.,Maecenas tincidunt lacus at velit.,complete
26,2292,2018-04-25,3.4,4.1,In hac habitasse platea dictumst.,Mauris ullamcorper purus sit amet nulla.,cancelled
27,1039,2020-06-03,,,,,ongoing
28,1617,2018-02-27,1.0,3.5,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",Aliquam erat volutpat.,cancelled
29,1732,2020-06-04,4.4,2.2,Vestibulum sed magna at nunc commodo placerat.,Integer a nibh.,complete
30,892,2019-10-13,4.0,2.5,Quisque porta volutpat erat.,Duis consequat dui nec nisi volutpat eleifend.,cancelled
31,1784,2020-01-14,1.1,3.3,In quis justo.,Curabitur at ipsum ac tellus semper interdum.,complete
32,131,2018-12-15,,,,,dispute
33,241,2020-04-26,1.3,4.8,Nulla suscipit ligula in lacus.,Nunc purus.,complete
34,1711,2019-09-15,,,,,ongoing
35,1098,2018-12-08,4.6,4.8,Praesent lectus.,Donec posuere metus vitae ipsum.,complete
36,867,2020-02-19,,,,,dispute
37,76,2018-12-16,3.5,2.9,Donec ut mauris eget massa tempor convallis.,Donec vitae nisi.,complete
38,377,2018-04-14,3.1,2.0,Vivamus vestibulum sagittis sapien.,Aliquam erat volutpat.,complete
39,1155,2019-09-17,1.2,4.3,Nulla tellus.,In eleifend quam a odio.,cancelled
40,653,2018-01-18,2.0,1.5,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Sed vel enim sit amet nunc viverra dapibus.,complete
41,2532,2020-01-24,4.5,3.9,Duis mattis egestas metus.,Sed sagittis.,cancelled
42,1978,2020-02-25,2.4,2.4,Morbi a ipsum.,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",cancelled
43,1048,2019-12-22,,,,,dispute
44,2243,2020-02-16,2.5,3.9,Aenean lectus.,Sed sagittis.,cancelled
45,1959,2020-06-24,,,,,dispute
46,732,2019-06-18,3.8,5.0,Morbi non quam nec dui luctus rutrum.,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",complete
47,1548,2020-03-27,3.5,1.2,Morbi vel lectus in quam fringilla rhoncus.,Quisque ut erat.,cancelled
48,345,2019-08-28,3.3,2.5,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Suspendisse potenti.,cancelled
49,1971,2020-05-07,,,,,dispute
50,1562,2018-09-16,,,,,ongoing
51,2592,2019-11-20,,,,,ongoing
52,1879,2018-11-23,3.6,2.5,Nulla tempus.,Mauris sit amet eros.,complete
53,1340,2020-08-16,3.8,1.8,Vivamus tortor.,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",cancelled
54,572,2018-07-18,,,,,ongoing
55,416,2019-05-19,,,,,ongoing
56,1564,2018-09-03,2.3,2.5,Mauris sit amet eros.,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",complete
57,896,2019-06-18,,,,,ongoing
58,1917,2019-08-09,,,,,dispute
59,1869,2020-08-08,,,,,dispute
60,2142,2019-12-24,,,,,ongoing
61,2202,2019-11-26,,,,,ongoing
62,1822,2018-05-20,4.1,1.7,Proin risus.,Morbi a ipsum.,complete
63,335,2019-05-21,,,,,ongoing
64,1628,2018-03-09,,,,,dispute
65,2470,2018-12-17,,,,,dispute
66,975,2019-07-23,4.8,1.4,Morbi porttitor lorem id ligula.,Integer a nibh.,cancelled
67,1386,2019-12-26,,,,,ongoing
68,921,2019-05-01,,,,,ongoing
69,1364,2018-05-26,1.2,2.1,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.","Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",cancelled
70,848,2019-01-28,,,,,ongoing
71,1218,2019-04-27,3.9,3.3,Maecenas rhoncus aliquam lacus.,Vestibulum sed magna at nunc commodo placerat.,complete
72,279,2019-12-15,2.3,3.8,Duis mattis egestas metus.,Aenean lectus.,cancelled
73,332,2020-06-14,3.1,2.1,Cras non velit nec nisi vulputate nonummy.,Pellentesque ultrices mattis odio.,cancelled
74,1780,2020-01-02,4.0,4.9,Praesent id massa id nisl venenatis lacinia.,Fusce posuere felis sed lacus.,complete
75,981,2019-03-09,,,,,ongoing
76,131,2019-07-17,,,,,ongoing
77,821,2020-04-04,2.0,3.0,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.","Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",complete
78,16,2020-02-19,3.0,2.1,In hac habitasse platea dictumst.,Donec quis orci eget orci vehicula condimentum.,cancelled
79,1016,2019-12-14,4.9,2.6,Nullam varius.,Quisque porta volutpat erat.,cancelled
80,1403,2019-02-07,,,,,dispute
81,809,2018-08-27,,,,,ongoing
82,1241,2020-03-26,4.8,1.4,"In est risus, auctor sed, tristique in, tempus sit amet, sem.","Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",cancelled
83,2083,2018-09-20,1.5,1.9,Integer non velit.,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",complete
84,1290,2020-07-31,,,,,ongoing
85,1470,2019-07-12,3.1,3.1,Proin risus.,Nulla tempus.,cancelled
86,2329,2020-08-19,,,,,dispute
87,1886,2019-06-28,3.0,1.4,Aliquam sit amet diam in magna bibendum imperdiet.,Morbi quis tortor id nulla ultrices aliquet.,cancelled
88,983,2018-04-19,,,,,ongoing
89,165,2018-03-21,4.3,2.2,Pellentesque ultrices mattis odio.,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",complete
90,556,2019-01-24,1.4,1.7,Aliquam sit amet diam in magna bibendum imperdiet.,Duis at velit eu est congue elementum.,cancelled
91,497,2019-12-30,4.5,1.4,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Donec ut dolor.,cancelled
92,2125,2020-04-22,,,,,ongoing
93,309,2018-08-25,3.6,1.7,Etiam pretium iaculis justo.,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",complete
94,761,2018-12-25,4.7,1.0,Ut at dolor quis odio consequat varius.,In hac habitasse platea dictumst.,cancelled
95,383,2018-06-09,1.5,2.2,Nunc purus.,Nulla mollis molestie lorem.,complete
96,2243,2019-03-24,,,,,dispute
97,2527,2019-08-15,3.7,4.0,Curabitur gravida nisi at nibh.,Proin interdum mauris non ligula pellentesque ultrices.,cancelled
98,1846,2019-01-07,1.7,4.1,Fusce consequat.,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",cancelled
99,389,2020-05-01,1.4,4.4,Sed sagittis.,In blandit ultrices enim.,cancelled
100,1211,2020-09-04,,,,,ongoing
101,546,2019-02-03,,,,,dispute
102,2077,2020-08-13,1.1,3.8,Proin at turpis a pede posuere nonummy.,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",cancelled
103,1678,2019-11-07,,,,,dispute
104,407,2019-03-20,3.9,4.0,Ut tellus.,Curabitur convallis.,cancelled
105,957,2018-12-10,2.9,1.1,Praesent blandit.,Nullam sit amet turpis elementum ligula vehicula consequat.,cancelled
106,1956,2019-01-21,,,,,dispute
107,1906,2020-02-15,,,,,ongoing
108,1263,2018-05-19,,,,,dispute
109,182,2018-06-26,3.6,2.3,Ut tellus.,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",complete
110,1596,2018-05-07,,,,,ongoing
111,548,2019-01-06,1.1,4.5,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",Suspendisse potenti.,cancelled
112,1332,2018-05-22,3.0,3.5,Nulla justo.,Proin risus.,complete
113,569,2020-05-21,1.8,2.2,Nulla facilisi.,Morbi vel lectus in quam fringilla rhoncus.,cancelled
114,700,2018-05-30,1.7,2.8,Aenean sit amet justo.,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",complete
115,1574,2018-12-30,,,,,dispute
116,1935,2019-07-22,,,,,dispute
117,1259,2019-09-14,2.0,1.1,Quisque ut erat.,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",cancelled
118,708,2019-02-23,,,,,ongoing
119,2097,2019-12-22,,,,,ongoing
120,941,2020-06-30,4.9,4.1,Morbi non quam nec dui luctus rutrum.,In blandit ultrices enim.,complete
121,29,2019-05-15,,,,,dispute
122,601,2019-12-08,,,,,ongoing
123,2478,2020-07-28,3.3,2.8,Etiam pretium iaculis justo.,Integer non velit.,complete
124,776,2019-05-12,,,,,ongoing
125,1994,2019-06-28,1.1,4.4,Vestibulum rutrum rutrum neque.,Nulla ac enim.,cancelled
126,1789,2019-01-04,,,,,ongoing
127,1751,2018-05-12,,,,,dispute
128,1211,2020-08-18,4.5,3.5,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Phasellus sit amet erat.,cancelled
129,486,2020-07-22,,,,,dispute
130,1978,2020-07-30,,,,,ongoing
131,2594,2018-06-29,4.5,1.6,Nulla nisl.,Fusce consequat.,cancelled
132,1067,2020-07-07,,,,,ongoing
133,1687,2019-05-15,,,,,dispute
134,326,2018-03-29,2.1,3.9,Fusce consequat.,Etiam faucibus cursus urna.,complete
135,1895,2020-06-27,3.9,2.3,Integer non velit.,Cras non velit nec nisi vulputate nonummy.,cancelled
136,1073,2018-02-18,,,,,ongoing
137,159,2019-02-14,1.2,3.4,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Proin interdum mauris non ligula pellentesque ultrices.,cancelled
138,350,2019-04-02,1.1,4.0,Mauris ullamcorper purus sit amet nulla.,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",cancelled
139,1175,2020-06-14,,,,,ongoing
140,166,2018-02-19,4.6,2.0,In sagittis dui vel nisl.,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",complete
141,1093,2020-02-06,,,,,dispute
142,1547,2020-06-14,1.5,2.5,Morbi non quam nec dui luctus rutrum.,Duis consequat dui nec nisi volutpat eleifend.,complete
143,278,2018-08-23,3.1,4.2,Aenean auctor gravida sem.,Nulla suscipit ligula in lacus.,cancelled
144,2440,2018-04-28,1.5,1.0,Donec quis orci eget orci vehicula condimentum.,Vestibulum ac est lacinia nisi venenatis tristique.,complete
145,2139,2018-06-08,4.7,2.6,Phasellus sit amet erat.,Mauris sit amet eros.,cancelled
146,1032,2019-08-17,,,,,dispute
147,102,2019-03-27,,,,,dispute
148,1530,2020-08-12,4.6,2.2,Mauris ullamcorper purus sit amet nulla.,Duis consequat dui nec nisi volutpat eleifend.,cancelled
149,957,2019-09-03,2.1,2.6,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Ut at dolor quis odio consequat varius.,complete
150,1804,2020-07-03,1.5,1.3,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Vestibulum rutrum rutrum neque.,cancelled
151,1865,2019-05-15,4.2,2.1,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Quisque id justo sit amet sapien dignissim vestibulum.,complete
152,1898,2018-01-02,4.1,2.9,Phasellus id sapien in sapien iaculis congue.,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",cancelled
153,2345,2018-10-09,,,,,ongoing
154,2199,2019-02-08,3.8,1.9,Nullam porttitor lacus at turpis.,Suspendisse accumsan tortor quis turpis.,cancelled
155,1962,2019-09-29,1.7,1.7,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.","Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",complete
156,1767,2020-08-11,,,,,dispute
157,1665,2019-08-17,,,,,dispute
158,2093,2018-06-15,3.7,4.4,Fusce consequat.,Curabitur gravida nisi at nibh.,cancelled
159,2223,2020-08-03,,,,,ongoing
160,881,2018-11-15,,,,,ongoing
161,46,2018-01-23,,,,,ongoing
162,1566,2018-05-02,4.6,2.3,Donec ut dolor.,Integer ac neque.,cancelled
163,1450,2020-08-02,1.4,2.2,Vivamus tortor.,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",cancelled
164,2175,2018-09-12,3.5,1.0,Praesent id massa id nisl venenatis lacinia.,Ut at dolor quis odio consequat varius.,complete
165,1988,2018-08-07,2.0,1.8,In hac habitasse platea dictumst.,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",complete
166,684,2019-03-06,2.4,1.1,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",Nullam molestie nibh in lectus.,cancelled
167,237,2020-04-11,1.8,4.9,In hac habitasse platea dictumst.,Duis ac nibh.,cancelled
168,2556,2018-10-23,,,,,dispute
169,242,2020-05-16,,,,,ongoing
170,1246,2019-05-22,,,,,dispute
171,1078,2019-09-18,,,,,ongoing
172,296,2019-05-08,,,,,ongoing
173,777,2019-01-09,,,,,dispute
174,472,2019-06-14,,,,,ongoing
175,293,2019-04-01,,,,,dispute
176,2204,2019-01-30,,,,,dispute
177,1315,2018-11-04,4.1,2.6,Duis aliquam convallis nunc.,Praesent id massa id nisl venenatis lacinia.,complete
178,770,2018-04-19,1.9,3.0,Duis aliquam convallis nunc.,Curabitur gravida nisi at nibh.,complete
179,1632,2020-08-12,2.2,1.7,Quisque porta volutpat erat.,Mauris ullamcorper purus sit amet nulla.,complete
180,1778,2020-08-13,4.8,4.7,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Maecenas pulvinar lobortis est.,complete
181,2266,2018-10-28,,,,,ongoing
182,183,2020-04-01,3.8,3.8,Morbi a ipsum.,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",cancelled
183,1920,2018-02-10,,,,,ongoing
184,1274,2018-03-03,2.4,2.8,Vivamus vel nulla eget eros elementum pellentesque.,Vestibulum rutrum rutrum neque.,cancelled
185,2372,2018-10-10,2.9,4.8,Morbi quis tortor id nulla ultrices aliquet.,Cras pellentesque volutpat dui.,cancelled
186,449,2018-04-28,,,,,ongoing
187,1076,2020-03-27,2.6,1.5,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Donec posuere metus vitae ipsum.,complete
188,1668,2018-05-20,3.5,2.0,In hac habitasse platea dictumst.,Suspendisse accumsan tortor quis turpis.,cancelled
189,1760,2018-07-14,2.1,1.0,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Pellentesque ultrices mattis odio.,complete
190,1912,2019-12-26,,,,,ongoing
191,2069,2019-09-16,2.7,3.6,Phasellus id sapien in sapien iaculis congue.,Duis ac nibh.,cancelled
192,1023,2020-07-18,3.9,4.9,In hac habitasse platea dictumst.,Morbi a ipsum.,cancelled
193,1778,2018-09-27,1.3,3.7,Integer ac neque.,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",cancelled
194,2582,2019-04-27,1.7,3.7,Mauris ullamcorper purus sit amet nulla.,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",cancelled
195,1358,2020-01-06,,,,,ongoing
196,219,2018-02-14,2.0,1.9,Curabitur in libero ut massa volutpat convallis.,Sed sagittis.,cancelled
197,884,2020-08-02,4.1,2.9,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Ut tellus.,cancelled
198,1657,2019-05-09,1.8,3.3,Nulla tempus.,Mauris lacinia sapien quis libero.,cancelled
199,700,2019-04-14,3.0,4.0,Pellentesque ultrices mattis odio.,Nulla facilisi.,complete
200,2517,2018-01-18,,,,,dispute
201,1159,2019-05-15,4.0,4.4,In hac habitasse platea dictumst.,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",cancelled
202,1195,2019-04-27,,,,,ongoing
203,1050,2020-04-28,4.5,3.1,Vivamus vestibulum sagittis sapien.,Etiam pretium iaculis justo.,cancelled
204,2278,2020-02-08,,,,,ongoing
205,1554,2019-01-21,3.9,1.2,Donec posuere metus vitae ipsum.,Proin interdum mauris non ligula pellentesque ultrices.,cancelled
206,1616,2020-04-01,1.3,2.5,Nam nulla.,Sed sagittis.,complete
207,963,2018-06-17,5.0,3.1,Pellentesque ultrices mattis odio.,Integer ac neque.,complete
208,462,2020-02-23,3.6,2.8,Fusce consequat.,Phasellus sit amet erat.,cancelled
209,917,2018-05-26,,,,,dispute
210,2077,2020-03-01,,,,,dispute
211,2210,2020-06-07,,,,,ongoing
212,540,2020-05-15,1.5,3.1,Quisque porta volutpat erat.,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",complete
213,645,2019-10-13,4.8,3.2,Morbi porttitor lorem id ligula.,Quisque porta volutpat erat.,complete
214,1874,2018-12-18,,,,,dispute
215,1150,2020-04-23,2.5,1.1,Aliquam non mauris.,Vestibulum ac est lacinia nisi venenatis tristique.,complete
216,1301,2018-12-25,2.9,2.5,Mauris sit amet eros.,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",complete
217,2143,2020-02-23,,,,,ongoing
218,1125,2018-03-04,4.1,3.6,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Praesent blandit lacinia erat.,cancelled
219,269,2019-10-18,,,,,dispute
220,835,2018-08-30,3.2,1.3,Praesent blandit.,Nam nulla.,cancelled
221,1744,2019-05-29,4.9,3.7,Nulla ac enim.,Pellentesque ultrices mattis odio.,complete
222,1105,2018-02-14,,,,,dispute
223,608,2020-06-23,,,,,ongoing
224,213,2018-01-24,4.3,4.0,Donec posuere metus vitae ipsum.,Etiam vel augue.,complete
225,2258,2020-03-01,,,,,dispute
226,1404,2018-06-29,4.8,3.1,Aliquam non mauris.,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",cancelled
227,1344,2019-01-25,,,,,ongoing
228,1385,2018-06-28,,,,,ongoing
229,1895,2020-09-14,,,,,dispute
230,376,2019-10-31,,,,,ongoing
231,2350,2020-08-15,,,,,ongoing
232,1719,2020-08-13,4.6,3.8,Duis consequat dui nec nisi volutpat eleifend.,In congue.,cancelled
233,125,2018-07-04,,,,,dispute
234,902,2018-03-03,,,,,dispute
235,1098,2018-12-09,4.8,4.8,Quisque porta volutpat erat.,Phasellus id sapien in sapien iaculis congue.,complete
236,493,2018-03-01,4.2,5.0,Etiam faucibus cursus urna.,Nam nulla.,complete
237,180,2020-04-29,,,,,ongoing
238,670,2018-04-05,3.6,1.2,Curabitur gravida nisi at nibh.,Nulla ac enim.,cancelled
239,1419,2020-06-24,,,,,dispute
240,1519,2020-04-21,1.2,2.8,Praesent lectus.,Integer ac leo.,complete
241,24,2019-02-17,4.3,5.0,Donec vitae nisi.,Aliquam erat volutpat.,complete
242,1163,2018-05-05,2.5,4.9,Morbi quis tortor id nulla ultrices aliquet.,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",cancelled
